Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
37,Mike Bibby,PG,27,SAC,82,3167,17.9,0.554,0.36,0.292,1.1,7.7,4.4,25.2,1.4,0.2,11.3,25.4,,6,2.4,8.4,0.127,,3.2,-2.3,1,2.4
38,Andris Biedriņš,C,19,GSW,68,1000,13.6,0.595,0,0.389,13.5,18.2,15.8,3.9,1.2,3.5,13.6,11.2,,1.6,1.3,2.9,0.137,,-1.5,1.7,0.2,0.6
39,Chauncey Billups,PG,29,DET,81,2925,23.4,0.602,0.42,0.514,1.6,8.7,5.1,39.3,1.3,0.2,12,22.9,,12.7,2.8,15.5,0.254,,6.9,-2.2,4.7,4.9
40,Steve Blake,PG,25,POR,68,1781,14.5,0.549,0.391,0.194,1.7,8.2,4.9,29,1.3,0.2,14,15.8,,3,-0.2,2.8,0.076,,1.5,-3.2,-1.7,0.1
41,Andray Blatche,PF,19,WAS,29,175,10.1,0.45,0.194,0.179,7.7,17.8,12.6,9.5,1.5,3.1,14.2,21.5,,-0.1,0.2,0.1,0.026,,-4,-0.4,-4.4,-0.1
42,Mark Blount,C,30,TOT,81,2240,12.1,0.549,0,0.302,5.3,14.2,9.8,7.8,1,2.6,18.9,21.4,,-0.5,2.3,1.7,0.037,,-3.5,-0.1,-3.6,-0.9
42,Mark Blount,C,30,BOS,39,1083,12,0.556,0,0.334,4.2,13.8,9.1,10.8,0.7,2.5,21.6,23.6,,-0.6,0.9,0.2,0.01,,-3.9,-0.5,-4.5,-0.7
42,Mark Blount,C,30,MIN,42,1157,12.1,0.542,0,0.268,6.4,14.5,10.5,5,1.2,2.6,15.8,19.3,,0.1,1.4,1.5,0.063,,-3.1,0.3,-2.8,-0.2
43,Keith Bogans,SG-SF,25,TOT,72,1912,10.7,0.497,0.368,0.342,3.3,12.4,7.8,11.2,2,0.4,12.6,17.2,,0.3,2,2.3,0.058,,-1.4,0.3,-1.1,0.4
43,Keith Bogans,SG,25,CHA,39,848,12.4,0.51,0.34,0.365,3.7,11.3,7.2,8.7,2.4,0.3,10.9,19.6,,0.4,0.7,1.2,0.066,,-0.8,-0.8,-1.6,0.1
43,Keith Bogans,SF,25,HOU,33,1064,9.3,0.482,0.398,0.316,2.9,13.3,8.2,13.3,1.6,0.5,14.4,15.3,,-0.1,1.3,1.2,0.053,,-1.9,1.2,-0.7,0.3
44,Andrew Bogut,PF,21,MIL,82,2348,15.2,0.555,0.005,0.32,9.4,19.8,14.5,13.4,1.1,2.3,15.3,15.9,,3.1,2.4,5.5,0.113,,-0.2,2,1.8,2.3
45,Matt Bonner,PF,25,TOR,78,1710,13.7,0.582,0.52,0.163,5.9,14.8,10.2,5.2,1.5,1.4,6,14.4,,3.5,0.5,4.1,0.114,,1.9,-1.2,0.7,1.2
46,Calvin Booth,C,29,WAS,33,250,8.9,0.451,0.043,0.191,8.6,15.8,12.1,7.2,1.9,2.8,13.6,10.5,,0.1,0.3,0.4,0.07,,-3.1,1.8,-1.4,0
47,Carlos Boozer,PF,24,UTA,33,1025,21.4,0.585,0,0.343,8.6,25.3,16.9,18,1.6,0.6,13.1,23.9,,2.2,1.3,3.5,0.162,,2.2,0.4,2.6,1.2
48,Chris Bosh,C,21,TOR,70,2751,23.2,0.585,0.012,0.534,8.7,20.6,14.4,11.8,1,2.3,10.5,25.2,,8.7,1.1,9.8,0.17,,2.8,-0.3,2.5,3.1
49,Bruce Bowen,SF,34,SAS,82,2755,9.1,0.54,0.457,0.157,1.5,11.9,6.9,6.8,1.6,0.8,10.5,11.1,,1.7,4.5,6.2,0.108,,-0.6,2.6,1.9,2.7
50,Ryan Bowen,SF,30,HOU,68,652,4,0.338,0.177,0.113,5.7,10.1,7.9,5.9,1.8,0.8,9.1,10.5,,-0.6,0.8,0.2,0.012,,-5.6,1.2,-4.4,-0.4
51,Earl Boykins,PG,29,DEN,60,1542,15.7,0.513,0.271,0.263,1.6,4.5,3.1,25,1.6,0.2,10.1,23.8,,2,0.9,2.9,0.09,,1.1,-3.2,-2.1,0
52,Michael Bradley,PF,26,PHI,46,367,8.4,0.417,0.063,0.038,12.7,21.4,17.1,6.9,0.7,1.4,19.1,12.3,,-0.2,0.3,0.1,0.019,,-4.7,-0.7,-5.4,-0.3
53,Elton Brand,PF,26,LAC,79,3099,26.5,0.58,0.002,0.396,9.3,19.9,14.8,13.1,1.4,4.9,9.3,27.7,,9.3,5.5,14.8,0.229,,3.6,2.6,6.3,6.5
54,Primož Brezec,C,26,CHA,79,2165,15.3,0.552,0.003,0.283,9.1,14.8,11.8,3.7,0.5,1.1,8.7,20,,3.4,1.2,4.6,0.102,,-0.9,-2,-2.9,-0.5
55,Devin Brown,SG,27,UTA,81,1711,10.3,0.493,0.224,0.402,5.1,9.6,7.3,10.7,1.4,0.7,13.8,19.5,,0.4,1.1,1.4,0.041,,-1.9,-1.7,-3.7,-0.7
56,Kwame Brown,C,23,LAL,72,1978,11.7,0.545,0.003,0.606,10.8,17.3,14.1,5.6,0.7,1.8,16.9,13.6,,1.7,1.9,3.6,0.088,,-2,0.3,-1.7,0.2
57,P.J. Brown,C,36,NOK,75,2380,12.7,0.515,0,0.288,8.9,18.8,13.7,6.3,1,1.7,12,14.7,,2.1,2.3,4.4,0.088,,-1.5,1.1,-0.3,1
58,Rick Brunson,PG,33,TOT,27,246,6.3,0.455,0.241,0.222,0.5,9.9,5.3,23.4,1.8,0.3,27.1,15.6,,-0.4,0.2,-0.1,-0.025,,-5.9,-1,-7,-0.3
58,Rick Brunson,PG,33,SEA,4,31,7.8,0.625,0.125,0,0,7.9,3.9,10.5,0,0,27.3,15.9,,0,0,0,-0.058,,-4.2,-4.8,-9,-0.1
58,Rick Brunson,PG,33,HOU,23,215,6.1,0.429,0.261,0.261,0.6,10.2,5.5,25.2,2,0.4,27,15.6,,-0.4,0.3,-0.1,-0.02,,-6.2,-0.5,-6.7,-0.3
59,Kobe Bryant,SG,27,LAL,80,3277,28,0.559,0.238,0.377,2.6,12.7,7.6,24.1,2.4,0.7,9,38.7,,11.6,3.7,15.3,0.224,,7.3,-1.5,5.8,6.5
60,Greg Buckner,SG,29,DEN,73,1758,11.4,0.556,0.583,0.132,2.1,11.7,6.9,10.8,2.5,0.9,10.5,12.6,,1.7,2,3.8,0.103,,0.6,1.1,1.7,1.6
61,Pat Burke,C,32,PHO,42,346,9.9,0.517,0.055,0.165,6.9,16.3,11.7,6.8,0.9,2.6,19.5,21.9,,-0.3,0.4,0.1,0.009,,-5.4,-0.4,-5.9,-0.3
62,Antonio Burks,PG,25,MEM,57,570,5.1,0.367,0.042,0.16,0.9,7,3.9,22.1,2,0,18.9,16.2,,-1.1,0.7,-0.4,-0.033,,-6.9,-1.3,-8.2,-0.9
63,Kevin Burleson,PG,26,CHA,39,340,5.1,0.367,0.614,0.193,1.3,8,4.4,20.8,3.9,0.5,20.8,15.7,,-0.6,0.4,-0.2,-0.032,,-4.3,0,-4.3,-0.2
64,Caron Butler,SF,25,WAS,75,2708,17,0.535,0.11,0.306,4.8,15.6,10,12.1,2.4,0.5,12.4,23.2,,3.5,2.8,6.3,0.112,,0.5,0.3,0.8,1.9
65,Jackie Butler,C,20,NYK,55,740,14.8,0.587,0,0.358,10.9,19.3,15,6.1,1.2,3.4,19.9,19,,0.7,0.6,1.2,0.078,,-1.6,0,-1.6,0.1
66,Rasual Butler,SF,26,NOK,79,1875,10.8,0.501,0.382,0.18,3.2,11.8,7.4,3.7,0.9,2,8.7,18.6,,0.4,1.3,1.7,0.045,,-1.6,-1.3,-2.9,-0.4
67,Andrew Bynum,C,18,LAL,46,338,7.4,0.394,0,0.329,11.9,16,13.9,4.1,0.6,5,15.3,15,,-0.4,0.4,0.1,0.007,,-6.3,0.5,-5.8,-0.3
68,Will Bynum,PG,23,GSW,15,162,8.7,0.457,0.173,0.308,2,6.3,4.1,19.2,2.2,0,19.2,20.1,,-0.2,0.1,-0.1,-0.021,,-4.8,-1.8,-6.6,-0.2
69,Žarko Čabarkapa,PF,24,GSW,61,505,9.9,0.472,0.115,0.483,8,16.7,12.3,6.5,1.3,1,14.2,21.7,,-0.2,0.5,0.3,0.031,,-4.8,-1.4,-6.3,-0.5
70,José Calderón,SG,24,TOR,64,1487,11.4,0.495,0.138,0.295,2.4,9.5,5.8,29.1,1.5,0.2,22.3,14.1,,0.9,0,0.9,0.029,,-1.8,-2.1,-3.9,-0.7
71,Marcus Camby,C,31,DEN,56,1857,19.9,0.499,0.017,0.24,8.4,33.3,21,10.2,2.2,7.5,11.4,19.5,,1,4.5,5.5,0.141,,-2.2,6,3.8,2.7
72,Brian Cardinal,PF,28,MEM,36,402,10,0.505,0.261,0.243,3.4,13.1,8.3,14.2,3.2,0,18,18.1,,-0.1,0.7,0.6,0.074,,-2.8,0.9,-1.9,0
73,Matt Carroll,SG,25,CHA,78,1275,13.9,0.54,0.389,0.353,2.9,12,7.1,4.6,1.9,0.7,8,20.8,,1.6,1,2.6,0.097,,-0.4,-2.1,-2.5,-0.2
74,Anthony Carter,PG,30,MIN,45,589,10.6,0.465,0.109,0.401,1.9,10.5,6.3,26.9,2.2,1.2,19.9,16.2,,-0.1,0.7,0.6,0.047,,-3.6,-0.3,-3.8,-0.3
75,Vince Carter,SG,29,NJN,79,2906,21.6,0.536,0.242,0.396,5.4,13.4,9.3,24.4,1.7,1.5,10.7,32.3,,4.9,4.4,9.3,0.153,,3.9,0.5,4.4,4.7
76,Sam Cassell,PG,36,LAC,78,2653,18.5,0.534,0.171,0.301,1.8,10.4,6.3,32.5,1.5,0.3,12.2,25,,4.8,2.8,7.6,0.137,,2.8,-1,1.8,2.5
77,Kelvin Cato,C,31,TOT,27,333,9.3,0.493,0,0.417,7.6,18,12.9,1.9,1,2.8,15.3,16.7,,0,0.4,0.3,0.045,,-5.2,-1.3,-6.5,-0.4
77,Kelvin Cato,C,31,ORL,23,299,9.4,0.503,0,0.486,8.1,17.7,13,1.1,1.1,2.6,15.5,16.4,,0,0.3,0.3,0.052,,-4.9,-1.5,-6.4,-0.3
77,Kelvin Cato,C,31,DET,4,34,7.7,0.417,0,0,3.5,21.2,12.2,9.7,0,4.3,14.3,19.6,,-0.1,0.1,0,-0.013,,-7.9,0.5,-7.4,0
78,Tyson Chandler,C,23,CHI,79,2121,12.2,0.567,0.004,0.682,14.4,24.2,19.3,5.6,1,3.8,25.1,10.4,,1.5,3.9,5.4,0.123,,-2,4.2,2.2,2.2
79,Calbert Cheaney,SF,34,GSW,42,448,6,0.412,0.074,0.074,4.9,10.5,7.6,6.6,1.5,0.3,13.2,12.8,,-0.3,0.3,0,0,,-5.4,-0.1,-5.5,-0.4
80,Josh Childress,SF,22,ATL,74,2249,15.8,0.626,0.129,0.399,7,13.9,10.3,9.4,2,1.3,14.6,14,,4.6,1.1,5.7,0.121,,1.4,0.1,1.5,2
81,Doug Christie,SG,35,DAL,7,185,6.8,0.416,0.038,0.462,1.3,7,4.2,10.9,2.7,0.4,16.1,9.4,,-0.1,0.2,0.1,0.035,,-2.9,1.3,-1.6,0
82,Speedy Claxton,PG,27,NOK,71,2019,16.1,0.497,0.086,0.435,2.2,9.3,5.7,29.8,2.9,0.2,14.9,23.8,,1.1,2,3,0.072,,0.4,-0.3,0.1,1
83,Mateen Cleaves,PG,28,SEA,27,230,9.1,0.448,0.225,0.338,1,6.4,3.7,27.4,0.7,0.7,14.7,18.6,,0.1,-0.1,0,-0.005,,-2.7,-5.4,-8.1,-0.4
84,Jarron Collins,C,27,UTA,79,1730,11,0.551,0,0.782,9.3,14.1,11.7,9.1,1.1,1.3,13.9,11.7,,2.5,1.4,3.9,0.107,,-1,0.3,-0.7,0.6
85,Jason Collins,C,27,NJN,71,1895,5.5,0.425,0.046,0.328,5.7,15.6,10.6,5.7,1.3,1.7,16.9,9,,-0.9,2.9,2,0.051,,-5.1,3,-2.1,0
86,Nick Collison,PF,25,SEA,66,1448,14,0.556,0.008,0.287,11.8,19,15.4,8.1,0.8,1.9,14.8,16.1,,2.2,0.1,2.3,0.075,,-0.1,-1,-1.1,0.3
87,Brian Cook,PF,25,LAL,81,1535,15.6,0.578,0.164,0.198,6.8,14.2,10.5,8.3,1.3,1.6,9.9,18.3,,3,1.5,4.5,0.142,,0.1,-0.8,-0.7,0.5
88,Jamal Crawford,SG,25,NYK,79,2555,15.5,0.544,0.333,0.406,1.7,10.2,5.9,20.9,1.8,0.5,14.4,21.5,,3.7,0.8,4.5,0.084,,2.1,-1.4,0.7,1.7
89,Austin Croshere,PF,30,IND,50,1148,15.2,0.618,0.491,0.358,6.4,19.8,13.3,9.1,1,0.4,12.7,15.3,,2.5,1.7,4.1,0.173,,1.3,0.6,2,1.2
90,Eddy Curry,C,23,NYK,72,1865,17,0.604,0,0.814,9.4,18.9,14.1,1.9,0.8,2.5,18.1,24.1,,2.3,1,3.3,0.084,,-1.6,-2.6,-4.2,-1
91,Samuel Dalembert,C,24,PHI,66,1761,14.2,0.568,0.003,0.358,10.6,25.4,18,2.2,1,6.9,20,13.8,,0.9,2.6,3.6,0.097,,-3.8,2.2,-1.6,0.2
92,Erick Dampier,C,30,DAL,82,1934,13.9,0.531,0,0.62,17.3,22.4,19.9,4,0.8,4.2,20.7,13.4,,1.9,2.9,4.8,0.119,,-0.8,1.7,1,1.4
93,Antonio Daniels,SG,30,WAS,80,2283,13.7,0.55,0.184,0.611,0.9,8,4.4,19.2,1.2,0.3,11.3,15.4,,4.3,0.9,5.3,0.111,,0.1,-1.6,-1.5,0.3
94,Marquis Daniels,SG,25,DAL,62,1766,14.9,0.535,0.037,0.357,5.6,9.6,7.6,16.2,2.1,0.6,14.4,18.3,,2.4,1.7,4.2,0.114,,0.9,0.4,1.4,1.5
95,Antonio Davis,PF-C,37,TOT,44,940,8.3,0.479,0.005,0.426,11.5,15.5,13.5,3.5,1.3,0.9,18.4,13.4,,0,0.4,0.3,0.017,,-2.8,-0.7,-3.6,-0.4
95,Antonio Davis,PF,37,NYK,36,749,8.9,0.487,0.006,0.384,12,15.9,14,3,1.4,1,18.8,13.8,,0,0.3,0.4,0.024,,-2.6,-0.7,-3.3,-0.2
95,Antonio Davis,C,37,TOR,8,191,5.9,0.44,0,0.645,9.2,14,11.5,5.4,0.8,0.4,16.7,11.6,,-0.1,0,0,-0.011,,-3.5,-1.1,-4.6,-0.1
96,Baron Davis,PG,26,GSW,54,1971,18.3,0.489,0.376,0.336,2.5,11.1,6.7,42.6,2.3,0.5,13.9,25.9,,2.4,2,4.4,0.106,,3.6,-0.4,3.2,2.6
97,Dale Davis,C,36,DET,28,178,9.9,0.425,0.042,0.625,13.9,21.6,17.7,4.8,0,3.7,11.6,9.2,,0.1,0.3,0.4,0.108,,-4,1.3,-2.7,0
98,Josh Davis,PF,25,TOT,6,17,13.6,0.361,0.286,0.429,20.4,7.1,13.7,8.8,6,0,10.7,24.8,,0,0,0,0.018,,-2,-0.2,-2.2,0
98,Josh Davis,PF,25,MIL,4,12,5.2,0.25,0.25,0,19.4,10.1,14.9,12.5,4.4,0,20,19,,0,0,0,-0.089,,-4.5,1.5,-3,0
98,Josh Davis,PF,25,HOU,1,0,,,,,,,,,,,,,,0,0,0,,,-7.2,0.9,-6.3,0
98,Josh Davis,PF,25,PHO,1,5,33.7,0.463,0.333,1,22.7,0,11.1,0,10,0,0,38.7,,0,0,0,0.275,,4.2,-4.4,-0.3,0
99,Ricky Davis,SG-SF,26,TOT,78,3207,15.6,0.521,0.186,0.265,2.5,10.5,6.6,22.2,1.5,0.4,12.8,24.3,,2.5,2.5,5,0.075,,0.9,-1,0,1.6
99,Ricky Davis,SG,26,BOS,42,1747,16,0.529,0.176,0.231,2.9,10,6.5,22.8,1.5,0.4,12.8,23.6,,1.8,1.1,2.9,0.08,,1.2,-1.2,0.1,0.9
99,Ricky Davis,SF,26,MIN,36,1460,15.2,0.511,0.197,0.304,2.1,11.1,6.7,21.4,1.6,0.4,12.7,25.1,,0.7,1.4,2.1,0.069,,0.6,-0.7,-0.1,0.7
100,Carlos Delfino,SG,23,DET,68,726,10.6,0.483,0.265,0.296,4.5,14.1,9.3,9.7,1.6,1.5,12.4,19.1,,0,1,1,0.067,,-2.9,-0.1,-3.1,-0.2
101,Tony Delk,PG-SG,32,TOT,24,385,16.1,0.526,0.292,0.168,4.3,12.2,8.2,15.2,1.9,0.2,9.9,23.7,,0.4,0.5,0.9,0.112,,0.6,-1.5,-0.9,0.1
